# SYNTHETIC DATA - GENERATED, NOT MEASURED - NOT AN EMPIRICAL FINDING
# generated: 2026-09-04
# generating model: five standardized latent variables, three congeneric
#   indicators each, all loadings 0.75
# structural paths into 'Risk': UnsafeActs 0.45, OperationalStress 0.30,
#   SystemCondition -0.25, SafetyResponseCapability -0.20
# exogenous latent correlations: 0.35 between every pair
# n = 1200, seed = 20260903
# columns prefixed 'latent_' are the generating latent scores. They are
#   never observable in real data and are included only so that examples
#   can compare an estimate against the value that produced it.
# regenerate with: python3 synthetic/generate_synthetic_datasets.py
unsafeacts_1,unsafeacts_2,unsafeacts_3,operationalstress_1,operationalstress_2,operationalstress_3,systemcondition_1,systemcondition_2,systemcondition_3,safetyresponsecapability_1,safetyresponsecapability_2,safetyresponsecapability_3,risk_1,risk_2,risk_3,latent_UnsafeActs,latent_OperationalStress,latent_SystemCondition,latent_SafetyResponseCapability,latent_Risk
2.02102,1.27646,-0.575344,-0.832801,0.672721,0.538798,-0.147722,-0.869843,-1.17386,0.338362,-0.465786,0.388386,0.0231219,0.0393868,0.482139,1.77351,0.113861,-0.525676,-1.28098,0.56261
0.138327,0.630525,0.0182348,-1.32558,-0.298269,-1.4194,0.233819,1.33892,1.68981,1.12506,0.0403111,-0.249318,0.288629,-0.491018,-0.743529,0.828799,-0.928541,1.436,1.0624,-0.268878
0.480531,-0.100331,-0.0424107,-0.625129,0.599851,-0.00762683,1.30531,1.29514,0.00526705,2.88702,1.49723,0.676494,-0.754039,-0.800365,-0.185655,0.776147,0.195471,1.45833,1.52479,-0.9073
1.44682,1.12193,1.60984,-0.401035,-0.0196236,-0.535908,0.173415,0.202927,-1.47627,1.32223,0.766711,1.05459,-0.0604378,0.703374,0.452068,1.86402,-0.587067,-0.705126,1.35386,0.729992
0.389469,0.755117,0.849579,2.52842,1.71901,0.926931,-0.0316763,0.368253,-0.955135,0.42821,0.41092,0.756306,0.776459,0.606733,1.12339,1.19093,2.40915,-0.0121478,0.794351,0.84794
-1.62208,0.324655,-0.868282,1.63272,0.222315,0.602883,-0.439723,-0.383035,0.502034,-0.109759,-0.451038,-0.785407,0.293751,0.329988,0.93093,-0.676518,1.37064,-0.301365,-0.43328,0.0505813
0.478209,0.219102,0.448096,-0.19564,-0.654454,-0.588526,0.289791,-0.469137,-1.12168,-0.529217,-0.401414,-1.14551,0.946507,0.520086,1.0937,0.403222,-0.48157,-0.53484,-0.249474,0.477496
-0.378487,-0.371621,0.357585,-0.477758,-0.204712,-1.1679,-0.328136,-0.53684,-0.287477,-1.38744,-1.92005,-1.10859,-0.607516,0.837052,-0.771868,-0.666531,-1.35331,-1.11853,-2.10932,-0.0054224
1.02208,1.18488,1.45096,1.18327,0.791422,0.294055,0.207812,1.55295,0.321872,-0.207591,0.155049,-0.109754,0.644021,0.778852,1.0628,0.919826,0.818456,-0.53913,-0.132147,0.908131
-0.210406,-1.14868,-1.42519,1.47543,0.779096,1.34007,-0.228802,-0.19033,-0.554417,-0.397533,0.288511,-0.682377,0.793687,1.2179,0.904321,-1.10229,1.64411,-0.220152,-0.392671,1.01838
-0.652324,-0.456974,-0.873049,-0.0374792,0.21285,-0.318067,0.254577,-0.941241,-0.466778,-1.67269,-2.05893,-2.07809,0.135951,0.469573,0.338062,-1.00464,-0.0828123,-1.11462,-1.76823,0.514502
-0.953518,1.64151,0.408863,-1.32872,0.324372,-0.306787,-0.703127,0.229302,-0.259755,-0.127682,0.523701,0.510971,-1.22009,-0.532053,0.234484,-0.0239438,-1.41661,-0.361138,0.537823,-0.379258
1.83921,0.667825,1.48034,0.135855,0.316236,0.158664,1.39049,0.501111,1.41296,-0.980684,-0.527483,-0.389259,-1.49417,-1.23443,-1.2753,1.19913,0.612399,1.56072,0.0236487,-1.6702
-0.0125507,-0.867221,0.695995,0.865351,0.330639,0.522964,-1.09921,-0.245891,-0.753406,-0.411297,-0.655155,1.48939,0.933999,-0.863087,-0.140145,-0.221433,0.686924,-1.09037,0.101058,0.362304
1.06174,0.963019,0.214229,0.626417,-0.632683,0.416407,0.506513,1.74443,0.976808,1.5538,-0.823572,0.33883,-0.5459,-0.83418,-1.12729,0.435251,-0.0331427,0.976916,0.804526,-0.672693
0.33705,0.893394,-0.276263,1.04485,-0.0522993,-0.167004,1.74408,-0.0702995,-0.14919,1.83258,0.266382,1.80408,-0.9049,-0.766571,0.495288,1.09572,0.240078,1.39077,0.635352,-0.456376
-2.03981,-1.85952,-2.44991,0.504157,-0.392711,0.742972,1.31374,0.997464,0.831914,-0.473286,-0.178655,-0.744023,0.117839,-1.29471,-0.674602,-2.55178,-0.0346639,1.17595,-0.269971,-0.390791
-0.979708,0.0678417,-0.554151,-0.038657,-1.40463,0.503828,-0.469143,1.03207,-0.800642,-0.474092,-0.554871,-1.13022,-0.871362,-0.11205,0.166923,-0.656731,-0.12826,-0.397295,-0.766847,-0.180545
0.774475,0.192937,0.865169,-0.83209,-0.0844051,0.370681,1.39392,1.39327,-0.690497,0.80434,0.316537,0.662439,-0.301506,-0.742442,-1.75373,1.02379,0.467934,0.232089,0.60334,-0.706672
1.05996,1.49484,-0.294953,0.804567,1.04972,0.167961,0.012525,0.48028,1.17559,-0.857672,0.993562,0.0822102,-1.44799,0.151677,0.920483,0.9522,0.467706,0.444648,0.392862,0.629538
-0.302166,-0.830361,0.0238964,0.184452,0.958047,0.495966,1.17524,0.379245,0.68144,0.485412,0.716235,0.824118,-0.224646,-0.536548,-1.57367,-0.0272608,0.0308876,0.932781,1.07322,-1.2038
0.192241,0.631537,1.07179,-1.03102,-1.0726,-1.1425,0.0480157,-1.29067,-0.442643,0.443636,0.623048,-0.246285,-0.213713,-0.422911,-0.600985,0.627117,-1.94389,-1.03259,0.159779,-0.421276
0.655838,0.545254,0.4086,0.264443,2.02727,0.255653,-0.810645,-1.07635,-0.0484275,-2.10684,-1.028,-0.633136,-0.557836,-0.760181,-1.44409,0.122301,0.550495,-0.338607,-1.47481,0.087943
-1.55683,-1.23222,-0.221542,-0.576982,1.30612,-0.412775,-0.183789,-0.235641,-0.360464,-2.41528,-0.552187,-1.88184,0.811927,0.897625,0.89523,-1.13669,-0.918961,-1.10882,-1.29855,0.599246
-0.697173,-1.02509,1.34678,-0.161107,-1.03175,-0.625058,-1.56363,-3.36205,-1.93411,0.59628,-2.51444,-1.79159,-0.162368,-0.320813,-1.25573,-0.600224,-0.114895,-2.11429,-1.55304,-0.0164383
0.248936,0.740403,0.383504,-0.657275,-0.172923,0.216496,-0.330027,0.722223,0.647652,0.680745,0.4127,1.4384,-0.531984,-0.857425,0.792166,-0.111889,-0.238413,0.968181,1.42821,0.0220932
0.681909,0.430062,-0.946783,-1.43048,-0.899098,-1.25307,-0.349955,-0.0591093,0.87752,0.0215354,-0.0826502,1.77214,-0.396017,-0.367905,-1.78775,0.50367,-1.21461,-0.575734,0.837691,-0.749184
-0.254399,-0.0600043,-0.631267,1.13552,0.434259,0.877364,0.661173,-0.375366,0.104447,-1.19941,-0.270021,-0.072342,0.149614,-0.742864,-0.461537,-0.479177,1.60769,-0.0677549,-0.549259,-0.0416114
-0.357865,-0.0318702,0.00883537,-0.422988,0.362926,-2.04802,-0.322462,-0.888346,-0.873953,0.891233,2.01467,-0.122007,-0.189554,-1.69239,-1.09461,-0.0995671,-1.27203,-1.3603,0.576863,-1.209
-1.52982,-1.19522,-1.49688,1.20488,1.82791,0.61636,-0.900547,0.709939,-1.22602,-0.966683,-0.543263,-0.486264,0.498522,0.775258,-0.191647,-0.81854,1.35112,-0.351338,-1.20033,0.0932985
0.69567,0.687758,-0.252084,0.0887026,1.16194,-0.0148627,-1.22761,-0.432477,-0.763077,-0.312921,0.629011,0.070494,1.71702,-0.785247,1.34167,-0.217525,0.0441014,-0.978324,-0.16027,1.36899
1.02716,0.457769,-0.991369,1.24202,1.03548,1.52259,-0.434449,1.32137,-0.542382,-0.0971444,-0.414719,-0.0292822,-0.912519,0.681581,1.7809,0.582771,1.08803,0.385757,-0.624931,1.01078
0.90817,-1.135,-0.484652,-0.600718,-0.201144,0.273994,-1.35523,-0.626738,-1.18893,0.683942,0.37611,-0.585119,0.00336255,-0.835978,-0.0547205,-0.50976,0.0926218,-1.04686,0.016274,-0.86808
0.985373,1.36022,0.851726,0.452693,-0.112782,0.0463828,-0.319921,-1.10673,0.298422,2.14396,0.265251,1.08721,0.269983,-0.628171,-1.12623,1.75188,-0.0961868,0.510574,0.842626,-0.626605
0.567626,-0.249116,0.38094,1.36532,1.36039,0.954259,1.09291,1.223,1.95161,0.66267,-0.729741,-0.341052,0.783056,0.571072,0.385059,0.955184,0.833748,-0.0371892,-0.0722513,1.48061
0.540136,0.396139,1.11037,0.867036,1.42176,0.169621,1.21507,1.53174,1.19878,0.533637,0.117853,0.73456,1.5768,2.11046,1.56673,1.06359,2.32652,1.08679,0.608644,1.84172
-0.156834,-0.256029,-0.333501,-0.399625,-0.722325,-0.97142,-0.233722,-1.14081,-0.403715,0.352486,-0.0160177,-0.30451,-0.135427,-0.0565029,-1.33662,-0.460676,-0.387129,-0.356608,0.223856,-0.386849
-0.966144,-0.436812,-1.26612,-1.20519,-1.51544,-1.27383,-0.835583,0.0949833,-1.43663,0.0711821,0.331205,-0.21395,-1.19576,0.674835,-0.873351,-1.89477,-0.968365,-1.10221,-0.890912,-0.59063
0.249589,0.649559,1.40608,0.987774,-0.251706,0.17035,0.931727,0.751737,1.96747,0.867879,0.571296,-0.374466,-0.569544,-2.00859,-0.0980793,0.395863,0.760932,0.955516,0.999771,-0.604057
-1.26753,-0.929525,-0.645589,-2.14121,-1.03332,-0.764859,0.172862,-1.36072,0.401443,-1.71448,-1.97381,-2.83667,0.258288,-0.0196978,-0.976807,-1.39205,-1.43495,-0.4428,-2.55623,-0.82174
-1.46356,-0.322102,-0.932905,-0.287856,0.115276,-0.375893,-0.0518838,-0.799399,-0.385532,-0.178258,0.987813,0.327132,0.496381,0.262855,0.879352,-0.100426,0.149832,-0.486722,-0.113044,0.948453
1.60549,1.10413,1.30634,0.650637,-0.285139,-0.193263,0.317313,0.154963,0.136567,1.47021,1.00264,-0.429156,-0.51164,-0.484616,0.0744851,1.75882,-0.167168,0.405596,0.354235,-0.361957
-0.474687,-0.281918,-0.422704,0.150465,0.23683,-0.488954,-1.40695,0.83127,0.300051,-0.200463,-0.988595,-0.356851,-0.253936,0.345626,-0.0913949,0.197325,-0.161966,0.165505,-0.603282,-0.253859
0.241549,0.0809306,-0.302392,-1.01259,-0.000421238,-1.40411,-1.36411,-1.17646,-0.78406,-1.47259,-0.635245,-2.31674,-0.10457,0.683744,-0.231599,-0.475855,-0.656169,-1.25536,-1.82677,0.378179
-0.808645,0.36211,-0.55739,1.12772,1.29693,0.141902,0.205075,0.703567,0.163747,-1.21717,0.224319,-1.0284,-0.668251,-1.03026,0.329531,-0.443611,0.762717,1.19699,-0.511588,-0.241233
-0.861639,1.00923,1.15925,1.23102,0.906624,1.56965,0.321596,1.2881,0.982172,0.954201,-0.224879,-0.653016,1.57732,0.875297,0.680727,0.573799,1.03164,0.730186,-0.452211,1.62855
1.1852,0.754319,-0.432272,-0.00968656,0.467633,0.404049,-1.34981,-2.00396,-1.31253,-0.172683,-0.523643,0.455195,-0.00267852,0.217055,1.15274,0.452272,0.46005,-1.53026,0.294715,0.618706
-0.973099,-1.01865,-1.08574,-1.02822,-1.96596,-3.17587,-1.18093,-1.43981,-0.872522,-0.800774,0.293448,0.0320456,-0.0675635,0.74818,-0.148038,-0.515185,-2.23314,-1.52165,-0.480586,0.940418
0.557305,-1.17679,-0.266661,0.214597,1.39965,-0.560628,-0.165042,-0.222315,0.695032,-0.257073,-0.046103,-0.416743,-1.12452,-0.201371,-0.387214,-0.555146,-0.343604,0.327344,0.08433,-0.6505
2.91283,2.22208,2.68748,-0.105895,-0.357014,-1.4007,-2.45049,-2.38251,-1.74216,0.310275,-1.07638,0.502482,0.967949,0.858816,0.340798,2.06966,-0.130193,-2.03907,0.546946,-0.34603
1.2814,0.404506,0.679178,1.25333,-0.702113,1.20071,0.0192835,-0.167551,0.310157,0.796016,1.26538,0.785401,-0.243335,0.164336,0.800265,0.534142,0.16697,0.222555,0.604936,0.247879
-1.04912,-1.19363,-0.258289,0.830396,-0.188219,0.513548,0.627842,0.823895,0.72473,-2.22692,-1.55464,-1.00643,1.87413,0.384843,1.9332,-0.310339,0.354326,0.769661,-1.76914,0.137603
-0.670188,-1.20292,-1.0652,-0.329893,-0.730989,-1.15305,0.421456,-0.944255,-1.34614,-0.543354,-0.0936828,0.293212,-0.0736576,-0.226984,-0.140684,-1.0092,-0.963462,-0.296304,-0.317304,-0.0216341
0.84596,-0.939415,0.244603,1.54358,0.800668,0.801204,-2.1078,0.0535263,-0.766793,0.00968148,-0.757192,0.955518,-0.0399959,-2.45799,0.14234,0.159295,0.74088,-0.808801,-0.183517,-0.90415
-0.769679,-0.33581,-0.269047,-0.249058,-1.04577,-0.270647,-1.10576,-0.860757,0.559971,-1.71926,0.658924,-0.853175,0.49544,1.19284,0.380955,0.547947,-0.968236,-0.0194577,-1.07129,0.483524
-2.33689,-0.269775,-0.284984,0.00661173,1.13083,0.499127,2.39994,1.21817,2.20354,1.0692,0.410227,0.0640226,0.411314,-1.69921,0.816225,-1.69294,0.337894,1.78713,-0.0573436,-0.771322
-0.5501,-0.623386,-0.812873,-0.974029,-2.07948,-1.71447,-0.395591,-0.0553223,0.24888,-0.296203,-0.0604357,-0.382912,0.183676,0.0443732,-1.73166,-1.14388,-1.98082,-0.21244,-1.16436,-1.42594
0.0920041,-0.743407,1.3819,-0.974074,-0.324194,-0.683709,0.171744,0.992989,0.45809,-1.11616,-1.5481,-1.43653,-0.740835,0.504935,-1.35115,0.399532,-0.624636,0.727575,-1.47099,-0.731922
0.192513,0.598548,0.746567,0.877374,1.89849,0.641278,0.606759,0.469429,1.38968,1.08884,1.42267,1.22207,-0.758519,-0.451684,-0.71885,0.681957,0.829888,1.16013,1.70237,-0.704518
-1.48555,-2.952,-1.83617,-0.246851,-0.998868,-0.287504,-1.05389,-0.713009,-0.406793,-1.00082,-0.304797,-0.226871,-0.715919,-0.088855,0.307281,-1.9559,-0.885955,-2.18447,-0.884186,0.0510732
1.44545,1.49874,-0.206264,-0.827741,-0.469701,0.555478,1.20089,0.897288,-1.26314,0.305406,0.670313,1.06555,-0.0672932,0.12971,-0.519858,0.834366,0.402448,0.593177,0.66596,0.428397
-1.27529,-1.91717,-0.733937,-1.84785,0.264189,-0.410009,-1.42043,-0.834802,-0.790995,-0.0163789,-0.928202,-0.884738,0.190113,-1.22108,-1.3383,-2.04408,-0.972929,-1.20068,-0.75075,-1.41844
-0.0111093,-1.18433,-1.23993,-2.47574,-0.117431,-0.134751,-0.422026,0.607513,-0.223202,-0.318066,-0.188715,-1.40785,-0.369735,-0.999284,0.137462,-1.20751,-1.49266,-0.416454,-0.787929,-0.328583
2.77317,0.596671,0.385632,-0.29358,0.0128647,-0.94962,0.0961264,0.502125,1.12877,1.52051,0.142202,0.026418,2.31026,2.46114,1.9493,0.813353,-0.89738,0.65677,0.728076,1.1467
-0.976077,-0.289218,1.54712,-0.0142799,0.752785,0.277577,-1.91321,-0.589692,-0.73127,-0.468713,0.630152,-1.31736,0.554425,1.17959,-0.886974,-0.117722,-0.122079,-1.18005,-0.528578,0.219668
-0.438357,1.6038,0.0324452,1.64022,0.972535,-0.011982,0.0941347,0.669351,0.572469,1.56554,-0.362963,-0.0444512,-1.33953,-1.44681,-0.803044,0.0214926,1.44765,1.08526,0.391229,-1.10544
-0.28245,-1.07512,0.556032,1.35672,0.391446,1.47656,1.48729,1.3502,0.920772,0.308665,-0.130706,-0.389928,1.92442,0.763411,-0.288867,-0.387668,1.13005,2.04505,0.290819,0.576151
1.36131,1.39476,1.58891,-0.0658044,0.881152,-0.111701,0.145012,0.35299,1.15695,-0.851069,-1.72668,-0.685945,0.655073,0.839186,0.244791,1.57012,0.862091,0.773974,-1.05281,1.17328
2.36757,1.40274,0.957925,-0.163668,-0.69121,-0.362238,-0.660805,-0.382693,-0.644832,1.3423,1.73696,1.60943,-0.921118,0.226941,0.915615,1.97102,0.0540602,-1.13137,1.37477,0.998562
1.60902,1.8855,1.40999,1.57028,1.44496,2.33493,1.07725,0.593134,1.59167,1.08697,-0.295706,-0.303183,1.03794,1.2501,0.690108,2.23078,1.66132,1.65732,0.845202,1.41505
1.90381,0.660126,0.772383,0.973202,1.18183,0.856287,-0.668459,-1.06505,0.201225,-0.872586,-0.790558,0.590259,0.54634,-0.326676,0.898027,1.57896,0.999695,-0.813912,-0.795138,0.71952
-1.99015,-0.732874,-0.811995,-0.478293,0.629429,-0.347717,-1.08351,-0.504297,-0.381255,-0.49327,0.181529,-0.231529,1.4226,1.65422,1.10557,-0.943782,-0.335949,-1.36378,0.335503,1.3301
-1.22101,0.989671,-1.86086,0.740163,2.24992,0.52721,-1.32753,-2.67169,-1.47175,0.957639,1.02138,1.93361,0.224071,0.562574,1.08209,-0.668512,1.31777,-1.47776,0.52908,0.793797
-0.919478,-1.15184,-2.72338,-0.787955,-0.269348,-0.836084,-0.508898,-0.277037,0.0732987,-1.89468,-2.01268,-1.09076,0.338812,-0.826438,-0.90754,-2.07937,-0.310658,-0.257788,-2.72199,-0.523231
-1.21051,-0.125184,-0.38703,-0.859881,-0.433486,-0.83825,0.046634,-0.856199,-1.50006,-0.347527,-1.00908,-2.57267,0.0121486,0.770752,-0.684689,-0.424217,-1.14282,-0.55999,-1.13834,-0.379659
-0.904024,-1.71465,-1.49848,-1.22999,-0.914792,-0.748301,0.274876,0.708098,0.577604,-1.59296,-1.18384,-1.07348,-0.244379,-0.461736,-0.673027,-1.14965,-1.08057,-0.00863422,-2.13064,-0.350577
-0.688585,-0.0424283,-1.03262,-0.191935,0.00659387,0.329579,-0.0733671,0.783256,0.263704,-1.50661,-2.86898,-1.90976,0.534385,-0.229977,0.144328,-0.474407,-0.618745,-0.0492024,-2.11538,0.153616
-0.505177,-0.586637,0.0411998,-0.0800046,1.54235,0.90203,1.16586,1.24182,2.03842,1.45816,1.15983,1.65853,0.260186,0.283389,-0.191671,-0.017852,1.49439,1.13321,1.50504,-0.257596
0.0258816,-1.08808,0.214835,-0.812994,-1.20711,-0.218687,0.692781,1.16925,-0.485858,0.533099,-0.258551,-0.233087,-0.138858,-0.057613,0.0129066,-0.46393,-0.648495,0.472148,-0.0206157,-0.04041
0.0281329,0.010703,0.644311,0.358237,1.68418,0.546125,-0.330383,-0.195243,0.195782,0.525585,1.4915,2.04255,-0.412008,0.178656,-0.344815,0.165572,0.709694,-0.444556,1.95397,-0.11253
-1.16758,-1.25018,-1.53852,0.0820449,-1.13038,-0.10731,-1.27526,0.0329207,-0.262223,-1.24852,-0.253185,0.336943,-1.53607,-2.50083,-3.1286,-1.37224,-0.794674,-1.13212,-0.588742,-2.69533
-0.967483,-1.16992,-0.637994,1.31664,-0.349812,-0.160612,0.658443,1.22906,1.85096,2.43729,-0.00296958,0.814975,-1.83466,-2.20695,-1.72863,-1.34932,-0.153456,1.39279,0.653991,-2.91627
-1.26286,-1.55565,-1.54173,-2.53951,-2.47661,-1.85714,-1.15039,-0.642799,-1.43771,-1.07688,-2.09624,-2.55139,-0.539483,0.538787,-0.168915,-1.89939,-2.49072,-1.23559,-2.15306,-0.105394
-0.660918,-0.732763,-1.42156,0.658873,0.293817,-1.53423,-0.376274,-1.00378,-0.408416,1.38279,1.679,0.573804,-0.381401,-0.806899,-0.0486964,-1.27193,-0.0647489,-0.146228,1.37657,-1.06175
-1.10301,0.0446407,-0.123282,-1.27419,-1.20984,-1.06075,0.573335,-1.49789,-0.486319,-0.773234,-1.6092,-0.469856,-2.05954,-0.66746,-0.54957,-0.195461,-1.98804,-1.33597,-0.821988,-1.19086
-0.429482,-0.415291,-0.654305,-1.43381,-2.3951,-1.03038,0.761045,-0.0966851,0.0777396,-0.164144,1.324,0.161515,-0.909408,-0.795566,-1.197,0.260462,-1.61171,0.178182,-0.0155634,-0.491034
-0.315041,0.269822,-0.431359,-0.534715,-0.809506,-1.56908,-0.850712,0.252382,0.238887,0.392175,0.548818,0.748607,-0.428224,-0.286281,-1.18619,-0.398229,-0.761866,-0.309187,1.1753,-0.685472
-0.660134,-1.424,-0.504972,-0.0191232,-0.859213,-1.89235,-0.752968,0.601005,-0.381996,-0.443009,-0.351114,0.0770808,-0.918907,-0.233008,0.370923,-1.08073,-0.86094,-0.314124,0.218567,-1.02748
1.27998,0.927675,0.981442,-0.61971,0.45971,-0.219782,0.167921,0.21606,0.34696,0.311222,0.0569112,1.18264,0.744788,0.83655,0.586599,1.23991,0.561858,0.112323,0.878827,0.684963
-0.393877,1.1726,0.726952,-0.280402,0.582759,0.727349,-0.108593,0.0518332,-0.457038,-0.454634,-0.0222172,-1.03421,-0.428523,-0.548886,-0.252364,0.215969,0.193234,0.751136,-0.148669,-0.385365
0.709876,-0.457591,1.64278,-0.555524,-0.0965675,0.762704,0.374346,-0.402432,-0.446317,-0.966257,1.12473,-0.727818,1.33827,0.403398,0.880925,0.402978,0.645147,-0.520019,-0.582022,0.0446188
-1.03631,-0.791348,-1.98094,0.21875,0.291837,-0.607456,-0.418442,-0.198562,0.392577,-0.102006,-0.00495901,-0.861482,-0.166122,1.23139,1.36561,-0.46201,-0.554871,0.0695828,-0.258536,0.756243
-0.566505,0.00555234,-0.602615,0.178187,-1.20401,-0.538081,-0.514038,-1.01441,-0.804382,-1.40367,-2.49067,-2.24657,0.81056,0.570573,0.622637,0.215425,-0.90497,-0.802013,-1.50269,0.715113
-1.22665,0.648372,-0.537331,0.236138,-1.26136,-0.955835,0.508054,1.60232,-0.221926,0.784744,1.0663,1.08024,-1.3897,0.109444,-1.64531,-0.571471,-0.109529,0.776478,0.769777,-1.15512
-1.97859,0.109291,0.0981606,1.38372,0.166696,1.10168,-0.199788,-0.307504,0.750777,-0.515313,0.340833,-0.420921,-1.66034,-0.84637,-0.738603,-0.384385,0.336218,0.0123956,0.0381818,-1.30874
-0.342074,0.226165,0.132466,0.650163,1.12689,-0.61592,-0.833508,-0.600366,0.441144,0.83894,-0.0773064,0.801685,1.21388,0.283591,-0.134919,-0.675632,-0.141819,0.0937118,0.461842,0.407562
0.0997016,0.285051,0.582931,-0.070195,0.716288,-0.0665101,0.489578,0.663228,0.58002,0.421033,1.0108,0.020878,0.769157,0.80641,-0.291692,0.1548,1.09897,1.67914,0.155433,0.0300032
-0.835719,-0.737643,0.0647407,1.20598,-0.0120175,0.547116,-0.0842309,0.218147,-0.368937,0.672208,-0.369924,1.33038,0.984734,0.431515,0.720958,0.0669544,0.314646,-0.490399,-0.0373851,0.576875
1.16726,0.266905,1.89909,-0.0755022,0.455378,0.796631,-0.435098,-1.65243,-0.851851,0.936942,0.654591,0.308314,-0.113929,0.37648,-0.244433,1.3654,0.319639,-1.02188,1.21885,-0.217485
